province_en,Most Frequent Age Group,Max Accidents,Total Accidents,Percentage
Amnat Charoen,11-20,148,708,20.903954802259886
Ang Thong,41-50,175,1015,17.24137931034483
Bangkok,21-30,2010,7536,26.671974522292995
Bueng Kan,11-20,185,960,19.270833333333336
Buri Ram,11-20,831,4332,19.182825484764543
Chachoengsao,21-30,777,3489,22.26999140154772
Chai Nat,41-50,220,1399,15.72551822730522
Chaiyaphum,11-20,462,2571,17.96966161026838
Chanthaburi,21-30,514,2830,18.16254416961131
Chiang Mai,21-30,1469,6177,23.781771086287844
Chiang Rai,21-30,948,5019,18.88822474596533
Chon Buri,21-30,2236,8331,26.839515064217984
Chumphon,31-40,371,2222,16.696669666966695
Kalasin,11-20,415,2368,17.52533783783784
Kamphaeng Phet,51-60,425,2502,16.986410871302958
Kanchanaburi,21-30,540,2984,18.096514745308312
Khon Kaen,11-20,1023,5648,18.112606232294617
Krabi,11-20,340,1721,19.755955839628122
Lampang,21-30,501,2742,18.271334792122538
Lamphun,21-30,377,1769,21.311475409836063
Loei,11-20,372,2093,17.773530817009078
Lop Buri,21-30,596,3208,18.5785536159601
Mae Hong Son,11-20,75,406,18.472906403940886
Maha Sarakham,41-50,444,2555,17.377690802348337
Mukdahan,21-30,193,1034,18.665377176015475
Nakhon Nayok,51-60,210,1184,17.736486486486484
Nakhon Pathom,21-30,863,3984,21.66164658634538
Nakhon Phanom,11-20,340,1656,20.531400966183575
Nakhon Ratchasima,21-30,1854,9906,18.715929739551786
Nakhon Sawan,51-60,748,4264,17.5422138836773
Nakhon Si Thammarat,11-20,745,4612,16.153512575888985
Nan,51-60,202,1182,17.089678510998308
Narathiwat,21-30,299,1656,18.055555555555554
Nong Bua Lam Phu,11-20,224,1046,21.414913957934992
Nong Khai,11-20,261,1266,20.61611374407583
Nonthaburi,21-30,638,2340,27.264957264957264
Pathum Thani,21-30,804,2975,27.025210084033613
Pattani,11-20,234,1142,20.490367775831874
Phang-nga,31-40,148,849,17.432273262661955
Phatthalung,51-60,276,1688,16.350710900473935
Phayao,41-50,260,1473,17.651052274270196
Phetchabun,11-20,642,3704,17.332613390928724
Phetchaburi,21-30,370,1991,18.583626318432948
Phichit,51-60,331,1828,18.107221006564554
Phitsanulok,51-60,660,3937,16.764033528067056
Phra Nakhon Si Ayutthaya,21-30,782,3334,23.455308938212358
Phrae,51-60,262,1428,18.34733893557423
Phuket,21-30,382,1637,23.33536957849725
Prachin Buri,21-30,577,2549,22.636327971753627
Prachuap Khiri Khan,31-40,492,2695,18.256029684601113
Ranong,11-20,87,436,19.954128440366972
Ratchaburi,21-30,569,3228,17.627013630731103
Rayong,21-30,1327,5023,26.418475014931314
Roi Et,11-20,621,3449,18.005218904030155
Sa kaeo,11-20,412,2277,18.093983311374615
Sakon Nakhon,11-20,682,3387,20.1358134041925
Samut Prakarn,21-30,882,2963,29.767127910901113
Samut Sakhon,21-30,446,1716,25.990675990675992
Samut Songkhram,21-30,91,464,19.612068965517242
Saraburi,21-30,613,3181,19.27066960075448
Satun,11-20,136,668,20.35928143712575
Si Sa Ket,11-20,510,3040,16.776315789473685
Sing Buri,51-60,149,798,18.671679197994987
Songkhla,21-30,809,4586,17.640645442651547
Sukhothai,51-60,329,1673,19.665271966527197
Suphan Buri,21-30,622,3687,16.870084079197177
Surat Thani,11-20,710,4053,17.517887984209228
Surin,11-20,709,3874,18.301497160557563
Tak,21-30,298,1571,18.968809675366007
Trang,51-60,407,2385,17.064989517819708
Trat,31-40,150,877,17.103762827822123
Ubon Ratchathani,11-20,1342,6627,20.25049041798702
Udon Thani,11-20,737,3888,18.955761316872426
Uthai Thani,41-50,191,1042,18.330134357005758
Uttaradit,51-60,311,1572,19.783715012722645
Yala,11-20,204,936,21.794871794871796
Yasothon,11-20,253,1385,18.267148014440433
unknown,11-20,2,4,50.0
